연번,경도,위도,Station 스테이션/성명,업무건물,주거건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,경제인구수,교통량,하천여부,sum,순위
133,127.4058257,36.32836534,오룡역 7번출구,0.024128409090909093,0.021508958333333335,0.005527894736842105,0.20263,0.20956,0.002948719150383612,0.006994895469315185,0.0057380546425636805,0.03500228018737713,0.0,0.5140392116107242,1
59,127.341248,36.35431465,유성온천역 6번출구,0.015612499999999998,0.0014422916666666668,0.0,0.20263,0.19853052631578946,0.006532155599228997,0.030834488921970583,0.008906339359079704,0.009221285162542956,0.0,0.4737095870252784,2
33,127.3618194,36.35819087,월평역 2번출구(육교밑),0.004257954545454545,0.011162083333333333,0.0,0.20263,0.0,0.011367147284477871,0.003717452007043618,0.005889056080525883,0.02055726412392138,0.16538,0.4249609573747567,3
38,127.3546054,36.35437198,갑천역 1번출구,0.002838636363636363,0.018624375000000002,0.0,0.20263,0.0,0.003115134736762538,0.0005482329562571739,0.005458015612161052,0.012191082977790792,0.16538,0.4107854776466079,4
19,127.3886308,36.35158499,현대아이텔(시청역 6번출구),0.05677272727272727,0.0008779166666666667,0.0,0.20263,0.07720631578947368,0.009008447031255907,0.013029761784184876,0.005504688783894824,0.0,0.0,0.3650298573282032,5
152,127.4318751,36.3323869,대전역(대한통운 맞은편),0.004257954545454545,0.006019999999999999,0.01105578947368421,0.20263,0.055147368421052625,0.005072237045995693,0.05353999999999999,0.0014249044782251438,0.002294210999624707,0.0,0.34144246496403685,6
12,127.381587,36.35797495,정부청사역 4번출구,0.031225,0.0,0.0,0.20263,0.06617684210526316,0.005900876639328773,0.02273742982806915,0.000941699876746097,0.010257291578761612,0.0,0.33986914002816876,7
257,127.4053133,36.42329574,대전테크노파크,0.012773863636363637,0.0,0.14003999999999997,0.0,0.0,0.0014028421331116069,0.0004023278468986088,2.4709326211996712e-05,0.0,0.16538,0.32002374294258584,8
260,127.407324,36.35783016,오정농수산물 도매시장,0.0014193181818181817,0.004703125,0.04422315789473684,0.0,0.07720631578947368,0.002886829056275747,0.006903552216031801,0.0020618559983566144,0.013724536554827136,0.16538,0.31850869069152,9
139,127.4110994,36.32267373,서대전네거리역 3번출구,0.018451136363636364,0.008528333333333332,0.0018426315789473683,0.20263,0.0,0.004441645753807778,0.01874010260685134,0.007110794987674609,0.049657433237628765,0.0,0.31140207786187957,10
110,127.3920897,36.33774157,용문네거리(용문역 3번출구),0.01987045454545455,0.019314166666666667,0.005527894736842105,0.20263,0.0,0.0063629893420008325,0.020944494091785632,0.009768420295809368,0.02679177704348275,0.0,0.3112101967220419,11
143,127.4260293,36.32777511,중앙로역 3번출구,0.03974090909090909,0.0029472916666666666,0.0,0.20263,0.0,0.0058396742129332175,0.04972052875606139,0.002377586277732128,0.007402044365100224,0.0,0.3106580343694027,12
136,127.4213773,36.32547931,대전광역시 중구청역 1번출구(대전광역시 중구청의회),0.06245,0.006584374999999999,0.009213157894736842,0.20263,0.0,0.001777621036320345,0.013627475547758639,0.0038793642152834835,0.005399337401714685,0.0,0.30556133109581396,13
140,127.420374,36.32674164,대전시민대학 정문,0.05109545454545455,0.013356875,0.0,0.20263,0.0,0.0020148663970671605,0.008214417830714891,0.006366769720624486,0.0035995582678097896,0.0,0.2872779417616709,14
153,127.4424076,36.32967211,대동역 4번출구,0.005677272727272727,0.024393541666666664,0.01105578947368421,0.20263,0.0,0.004642444725802185,0.014772574355533783,0.007281014790468365,0.008367834201311151,0.0,0.2788204719407391,15
53,127.3833495,36.34340231,탄방지하차도,0.02128977272727273,0.015488958333333334,0.0,0.20263,0.0,0.0016614051929400202,0.0077748653598516395,0.012005987058340179,0.0107167108173931,0.0,0.271567699489131,16
233,127.3949641,36.43864973,대덕산업단지 BRT정류장,0.0,0.0,0.07370526315789473,0.0,0.0,0.0020650661400657623,0.003750629778014692,0.0,0.013622774171790326,0.16538,0.2585237332477655,17
58,127.3311435,36.35642583,구암역 3번출구,0.0014193181818181817,0.0097825,0.007370526315789473,0.20263,0.0,0.002487981783136173,0.0022866068364655163,0.0030969022185702547,0.02814133588471466,0.0,0.25721517122049425,18
34,127.3658595,36.3576718,진달래아파트(107동),0.007096590909090907,0.0158025,0.0,0.20263,0.0,0.003977470047998791,0.0032810599356610575,0.015555893590797041,0.006862268277413568,0.0,0.25520578276096134,19
199,127.3184478,36.36826175,노은1동주민센터,0.007096590909090907,0.013795833333333334,0.0,0.20263,0.0,0.0033358760724139236,0.0034205414688393567,0.010284570665571077,0.013724536554827136,0.0,0.25428794900407575,20
117,127.4400819,36.35071589,동부네거리,0.00851590909090909,0.011224791666666666,0.009213157894736842,0.0,0.1764715789473684,0.002363513927208133,0.007595898103893246,0.002654879827444536,0.03407782438371353,0.0,0.2521175538419404,21
11,127.3713527,36.35890251,누리아파트(후문 버스정류장),0.002838636363636363,0.006584374999999999,0.0,0.20263,0.0,0.003761542386333573,0.004922662640713691,0.020151828266228432,0.010905901452201935,0.0,0.251794946109114,22
48,127.3848681,36.3464501,대전종합고용지원센터(탄방역 4번출구),0.031225,0.0010660416666666667,0.0,0.20263,0.0,0.004927139158698364,0.006264258643843175,0.005405851479046837,0.0,0.0,0.251518290948255,23
178,127.3184187,36.37446586,노은역 3번출구,0.012773863636363637,0.011601041666666666,0.0,0.20263,0.0,0.006442071128916438,0.003710771487816141,0.013979987674609696,0.0,0.0,0.2511377355943726,24
